state,shape1,shape2
AL,3.672409384350801,172.20119743070043
AK,39.00565111621876,4271.095707731029
AZ,11.573175958922231,321.64323440803446
AR,4.291407136756392,183.46256709487528
CA,4.762776118142522,269.9319836657793
CO,6.717582892248093,260.14154986950734
CT,4.853705526284367,60.55489678436157
DE,76.25800433747878,2090.4429310775104
FL,5.476796737000884,251.0621742530716
GA,4.191788329535601,129.37422091678587
HI,17.14485512335567,934.479927048342
ID,4.403717283695055,301.80309959001124
IL,4.899705084972936,207.59643362934088
IN,3.6405866515858527,108.48802977853057
IA,3.9979305581141733,214.59118634022383
KS,6.049141147197245,401.9866676504903
KY,4.5506306405178405,217.27768123231118
LA,8.090679986505231,231.47083713354647
ME,3.187446767745667,86.42315079463684
MD,6.708774431521768,195.77616887197257
MA,6.118465035275001,73.63600861302615
MI,4.573827505812996,125.12534824785789
MN,3.6414929444956625,220.8611327241668
MS,8.06455070039376,218.78446582056824
MO,4.421130504973815,297.3803351420622
MT,9.251367257573838,527.949953560046
NE,4.213959449750641,255.55826891957855
NV,19.16292089335807,1005.9672875741215
NH,6.621982141799597,190.40718132992686
NJ,14.073877606944883,153.90074286566366
NM,5.460315117456661,194.2422330504594
NY,3.0342679831621173,61.17527842181654
NC,5.2030981970035866,231.10430352150956
ND,10.154632810428794,634.2232485185064
OH,3.814811700523043,99.83386646124555
OK,6.017601275305905,367.78333167421977
OR,11.839696948520572,704.0080473327748
PA,4.752182997200479,111.3901923883798
RI,3.6089864404969996,67.50183069952034
SC,8.21772313649252,263.1515983291495
SD,9.979822222059866,657.5302398797601
TN,6.450135446474933,408.79137525827906
TX,5.69967590610946,178.99740161714166
UT,4.641018091821904,519.8894633436119
VT,12.353028693620303,485.6170640488264
VA,3.5789523897381863,127.89568156049512
WA,5.078914063851052,253.96730637179246
WV,4.799200073111376,181.47750224233718
WI,6.651294405039472,616.9398537359878
WY,7.768944414063977,607.4814162791714
