state,shape1,shape2
AL,3.50391799124034,151.24624370288961
AK,31.543863458592714,2666.0926377720752
AZ,11.454761539596678,317.8537169498903
AR,3.5259471642591502,184.58706456579498
CA,4.7469078044501245,273.9057223799076
CO,6.020775700000876,203.8675970652032
CT,5.075626795529456,57.51122117891984
DE,51.084069105614695,1213.3966862886768
FL,4.798354373428317,249.83722720606482
GA,4.0030212091163335,125.16731945970025
HI,6.357327080979589,381.2133530930687
ID,3.1468121585547117,220.13108009613265
IL,5.51362628460349,188.2693988640852
IN,3.4486527739813098,81.17339382307318
IA,4.203451728847755,184.53418263147722
KS,6.670256613435261,460.53759448351593
KY,4.271961747376559,168.72595232561343
LA,6.093835657702541,165.7886026353116
ME,3.3267085348232426,81.41774106125182
MD,5.377703474829044,131.34982603009217
MA,8.353437596599118,96.90379829594697
MI,4.837634477331374,109.23731092961776
MN,3.4329105389680956,178.26263238278977
MS,6.683819269325267,179.7287382611679
MO,6.190040930142814,452.7964639449776
MT,10.132715790947334,537.6447382753955
NE,4.849675863659314,270.27471255759804
NV,13.48666009528239,609.221530733973
NH,7.718633480888027,189.00649306865
NJ,14.881284051816067,148.95377154516632
NM,4.570422908021365,166.00878956447315
NY,3.5064679466628093,64.32465921803094
NC,5.555595842316512,260.9228676971105
ND,24.754082277294216,1596.9247334712968
OH,3.208750737074449,78.97430269490752
OK,5.920164304361974,302.74204349263186
OR,7.575738577038653,415.57952757752855
PA,5.024172283808071,102.19067766760719
RI,3.4922812551835705,58.39606754710955
SC,7.072344910773192,233.96360869480947
SD,13.01558816126441,776.6676827554681
TN,6.811149238382858,484.06151493016455
TX,5.337918244305926,177.7470918305881
UT,4.727303559419285,510.3008314849939
VT,13.757603409059664,460.8534470422687
VA,4.06591802596528,152.59805673639343
WA,5.2826491668182065,234.82374649938538
WV,4.341813931172876,177.24626853464366
WI,5.599090236686822,378.24130110688986
WY,8.286845923045826,587.9217995470776
