state,shape1,shape2
AL,3.4995349358925836,150.99840621461217
AK,32.73624156853888,2791.229425822598
AZ,11.43912892887096,317.2684962524054
AR,3.521622631822145,184.38626393468246
CA,4.714174364365521,272.30211112045777
CO,5.973230421054062,202.064709171131
CT,5.070111662568989,57.45403448768287
DE,51.14600201889199,1213.9490141037747
FL,4.813074011507329,250.66068519470485
GA,4.002620580715213,125.21458402849977
HI,6.357595031505138,380.9808183182864
ID,3.1065699047062947,218.5923803095717
IL,5.52477621069961,188.63374713358158
IN,3.4525239256455293,81.26417811989813
IA,4.184521350937442,183.72824861543285
KS,6.655601744471696,461.2123068038032
KY,4.270996155038279,168.69382874977464
LA,6.113939914183698,166.276263137454
ME,3.3021806935403033,81.09809219318879
MD,5.431675135663098,132.56347127699576
MA,8.228880262935824,95.50776988211446
MI,4.8161756360129315,108.91359854127639
MN,3.4328147717448303,178.53265568756865
MS,6.683851239529589,179.4725709212729
MO,6.210783494925106,454.3917042190088
MT,10.087283481185198,538.4039360668877
NE,4.889032097445369,272.28154312784835
NV,13.615171076093864,617.5195899165037
NH,7.451982204061091,183.53229568957414
NJ,14.919666723527918,149.34174952836142
NM,4.558727795257001,165.6379282390097
NY,3.5146976849479286,64.55568569383185
NC,5.558378967899914,261.5795433998153
ND,24.45472395268282,1580.6542020307693
OH,3.213216037366064,78.94619413327302
OK,5.914667271584187,301.88277272782557
OR,7.6658318401962,417.2246277014069
PA,5.060059630273913,102.79180302519572
RI,3.5146083023304935,58.63399816588234
SC,7.051807531481057,233.33576512875447
SD,13.160450365744026,786.4253772231409
TN,6.8365185986602786,485.52205314846645
TX,5.324507390360267,177.3144379468647
UT,4.703278998073062,512.3251032027699
VT,13.927446954293156,469.42985567006133
VA,4.064736652353413,152.72563812751193
WA,5.303983753536119,237.51686387990122
WV,4.347219154230783,177.23025654691554
WI,5.59137075096424,377.65801586783846
WY,8.318108735958178,587.4347053354101
