state,shape1,shape2
AL,4.6281789296606455,308.7223748973696
AK,35.1678307690782,5340.134344070981
AZ,7.461589836186821,262.26818831706873
AR,4.326742731039331,167.42130757310946
CA,3.345886679480137,198.58311136683244
CO,6.301392435243708,586.8144462639217
CT,7.5323970927170265,622.9476244790014
DE,10.912482598060206,737.3337893548737
FL,4.7789138997640945,182.03941487299636
GA,5.052985280545866,165.08149070216638
HI,9.30362164092801,430.3785259282006
ID,4.0005382637029445,310.47722841058317
IL,2.999035009299358,151.3707566829172
IN,4.725107568302032,225.95749804121306
IA,4.42674863228649,301.74017935232524
KS,4.147279091473436,270.8390413641111
KY,3.9788950535051226,292.48087730082045
LA,5.997278349790813,221.70925941670697
ME,5.987456895829917,463.0046396526983
MD,12.074581543914801,1067.3342630258858
MA,5.116297780540204,114.49814354737224
MI,4.215683820498672,224.37388484092838
MN,4.138890002344331,312.43086310487206
MS,6.8150519991284835,237.22270000293548
MO,4.2901965882589295,267.43872755981477
MT,6.142841304259154,379.4577202020112
NE,7.150753289210657,697.0193716915037
NV,10.211052012527025,708.0259560053571
NH,6.873824758621818,527.943120638765
NJ,4.2487101255067525,311.21544684415755
NM,5.758232126121522,252.3629533870311
NY,2.235911417265172,159.0264203996567
NC,4.026215558863668,201.17771397974326
ND,3.8461768974450745,160.0719418176837
OH,4.11000175285953,199.3806839632784
OK,7.229041348017043,656.2749801219902
OR,5.309607472340193,352.2379763495624
PA,4.257409895549726,198.38413824983834
RI,11.84339000998882,653.5072452523091
SC,8.135646246083008,269.9055013908953
SD,4.502281239174733,290.2176706522275
TN,6.056763125340324,323.15667240207495
TX,3.769594300087096,108.1955273826756
UT,4.861258549729762,552.673259168432
VT,108.88628048805546,15108.627735832753
VA,3.4017192825574085,168.78498560410742
WA,11.584377887830415,782.4585946550169
WV,4.512599013238826,221.0954517690412
WI,5.527790765435941,601.0646141779139
WY,5.750828513861649,461.1756305644586
